sno,v1,v2,,
70,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",,
71,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",,
72,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,,
73,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",,
74,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,,
75,spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,,
76,spam,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",,
77,spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",,
78,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,,
79,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,,
80,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,,
81,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,,
82,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",,
83,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",,
84,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,,
85,spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,
86,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,,
87,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,,
88,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,
89,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,,
90,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,
91,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,,
92,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,,
93,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",,
94,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,,
95,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",,
96,spam,88800 and 89034 are premium phone services call 08718711108,,
97,spam,"SMS. ac sun0819 posts HELLO:\You seem cool  wanted to say hi. HI!!!\"" Stop? Send STOP to 62468"" ",,
98,spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,,
99,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,,
100,spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,,
101,ham,ok. I am a gentleman and will treat you with dignity and respect.,,
102,ham,Going on nothing great.bye,,
103,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,
104,ham,"Haha awesome, be there in a minute",,
105,ham,Have you got Xmas radio times. If not i will get it now,,
106,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,
107,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,
108,ham,Hi :)finally i completed the course:),,
109,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,
110,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,
111,ham,Gud mrng dear hav a nice day,,
112,ham,Did u got that persons story,,
113,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,
114,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,
115,ham,"Found it, ENC  &lt;#&gt; , where you at?",,
116,ham,I sent you  &lt #&gt   bucks ,,
117,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,
118,ham,Your account has been refilled successfully by INR  &lt DECIMAL&gt  . Your KeralaCircle prepaid account balance is Rs  &lt DECIMAL&gt ,,
119,ham,Goodmorning sleeping ga.,,
120,ham,U call me alter at 11 ok.,,
121,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,
122,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,
123,ham,"Aight yo, dats straight dogg",,
124,ham,You please give us connection today itself before  &lt DECIMAL&gt   or refund the bill ,,
125,ham,Both :) i shoot big loads so get ready!,,
126,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,
127,ham,Home so we can always chat,,
128,ham,K:)k:)good:)study well.,,
129,ham,Yup... How Ì_ noe leh...,,
130,ham,Sounds great! Are you home now?,,
131,ham,Finally the match heading towards draw as your prediction.,,
132,ham,Tired. I haven't slept well the past few nights.,,
133,ham,Easy ah?sen got selected means its good..,,
134,ham,I have to take exam with march 3,,
135,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,
136,ham,Ok no prob. Take ur time.,,
137,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,
138,ham,"Sorry, I'll call later",,
139,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,
140,ham,Would really appreciate if you call me. Just need someone to talk to.,,
141,ham,Hey company elama po mudyadhu.,,
142,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,
143,ham,Dear good morning now only i am up,,
144,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt,,
145,ham,Dear we are going to our rubber place,,
146,ham,"Sorry battery died, yeah I'm here",,
147,ham,Yes:)here tv is always available in work place..,,
148,ham,I have printed it oh. So  &lt,,
149,ham,Or ill be a little closer like at the bus stop on the same street,,
150,ham,Where are you?when wil you reach here?,,
151,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,
152,ham,Tomarrow final hearing on my laptop case so i cant.,,
153,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,
154,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,
155,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,
156,ham,U don't remember that old commercial?,,
157,ham,Too late. I said i have the website. I didn't i have or dont have the slippers,,
158,ham,I asked you to call him now ok,,
159,ham,Kallis wont bat in 2nd innings.,,
160,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,
161,ham,Ranjith cal drpd Deeraj and deepak 5min hold,,
162,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,
163,ham,What you doing?how are you?,,
164,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,
165,ham,"I'm back, lemme know when you're ready",,
166,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,
167,ham,Mmm so yummy babe ... Nice jolt to the suzy,,
168,ham,Where are you lover ? I need you ...,,
169,ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,
170,ham,Yup,,
171,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,
172,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,
173,ham,Why you Dint come with us.,,
174,ham,Same. Wana plan a trip sometme then,,
175,ham,"Not sure yet, still trying to get a hold of him",,
176,ham,The evo. I just had to download flash. Jealous?,,
177,ham,"Come to mu, we're sorting out our narcotics situation",,
178,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,
179,ham,"Usf I guess, might as well take 1 car",,
180,ham,No objection. My bf not coming.,,
181,ham,Thanx...,,
182,ham,Tell rob to mack his gf in the theater,,
183,ham,"Awesome, I'll see you in a bit",,
184,ham,Just sent it. So what type of food do you like?,,
185,ham,All done? All handed in? Celebrations in full swing yet?,,
186,ham,You got called a tool?,,
187,ham,"\Wen u miss someone  the person is definitely special for u..... But if the person is so special  why to miss them  just Keep-in-touch\"" gdeve.."" ",,
188,ham,Ok. I asked for money how far,,
189,ham,Okie...,,
190,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,
191,ham,"K, I might come by tonight then if my class lets out early",,
192,ham,Ok..,,
193,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,
194,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,
195,ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,
196,ham,Hey you told your name to gautham ah?,,
197,ham,Haf u found him? I feel so stupid da v cam was working.,,
198,ham,Oops. 4 got that bit.,,
199,ham,Are you this much buzy,,
200,ham,I accidentally deleted the message. Resend please.,,
